id,company_id,name,gender,employment_category,employee_number,department,position,hire_date,contract_period,status,note,created_at,gs_project_id,gs_table_name,updated_at,_rid,_self,_etag,_attachments,id_number,phone,address,_ts
emp05_01,comp05,정미래,여,정규직,,,,2024-01-01,,재직,,1778742586262,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274535123,pBtjAL8RWCd87qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCd87qsAAAAAAA==/,"""d302cf14-0000-0800-0000-6a0d93270000""",attachments/,,010-1234-5601,,1779274535
emp05_12,comp05,최그린,여,정규직,,,,2024-01-01,,재직,,1778742586262,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274536041,pBtjAL8RWCd77qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCd77qsAAAAAAA==/,"""d302f214-0000-0800-0000-6a0d93280000""",attachments/,,010-1234-5612,,1779274536
emp05_05,comp05,구에코,남,정규직,,,,2024-01-01,,재직,,1778742586262,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274536694,pBtjAL8RWCd67qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCd67qsAAAAAAA==/,"""d3020a15-0000-0800-0000-6a0d93280000""",attachments/,,010-1234-5605,,1779274536
emp05_07,comp05,강신재생,남,정규직,,,,2024-01-01,,재직,,1778742586262,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274538730,pBtjAL8RWCd57qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCd57qsAAAAAAA==/,"""d3023b15-0000-0800-0000-6a0d932a0000""",attachments/,,010-1234-5607,,1779274538
emp05_13,comp05,오근원,남,정규직,,,,2024-01-01,,재직,,1778742586262,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274539516,pBtjAL8RWCd47qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCd47qsAAAAAAA==/,"""d3025115-0000-0800-0000-6a0d932b0000""",attachments/,,010-1234-5613,,1779274539
emp05_09,comp05,김딩동,남,정규직,,,,2024-01-01,,재직,,1778742586262,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274540506,pBtjAL8RWCd37qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCd37qsAAAAAAA==/,"""d3027915-0000-0800-0000-6a0d932c0000""",attachments/,,010-1234-5609,,1779274540
emp05_11,comp05,나태양,남,정규직,,,,2024-02-05,,재직,,1778742586262,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274541318,pBtjAL8RWCd27qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCd27qsAAAAAAA==/,"""d3029a15-0000-0800-0000-6a0d932d0000""",attachments/,,010-1234-5611,,1779274541
emp05_10,comp05,유앨섭,남,정규직,,,,2024-01-01,,재직,,1778742586262,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274543126,pBtjAL8RWCd17qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCd17qsAAAAAAA==/,"""d302e515-0000-0800-0000-6a0d932f0000""",attachments/,,010-1234-5610,,1779274543
emp05_02,comp05,이태양,남,정규직,,,,2024-01-01,,재직,,1778742586262,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274544257,pBtjAL8RWCd07qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCd07qsAAAAAAA==/,"""d3021616-0000-0800-0000-6a0d93300000""",attachments/,,010-1234-5602,,1779274544
emp05_03,comp05,박에너지,남,정규직,,,,2024-01-01,,재직,,1778742586262,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274545041,pBtjAL8RWCdz7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdz7qsAAAAAAA==/,"""d3023716-0000-0800-0000-6a0d93310000""",attachments/,,010-1234-5603,,1779274545
emp04_02,comp04,이운송,남,정규직,,,,2024-01-01,,재직,,1778742571003,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274547586,pBtjAL8RWCdq7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdq7qsAAAAAAA==/,"""d3028a16-0000-0800-0000-6a0d93330000""",attachments/,,010-1004-0402,,1779274547
emp04_05,comp04,엄기혜,여,정규직,,,,2024-01-08,,재직,,1778742571003,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779279848363,pBtjAL8RWCdp7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdp7qsAAAAAAA==/,"""d6022677-0000-0800-0000-6a0da7e80000""",attachments/,,010-1004-0405,,1779279848
emp04_03,comp04,김인청,남,정규직,,,,2024-01-01,,재직,,1778742571003,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274553909,pBtjAL8RWCdo7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdo7qsAAAAAAA==/,"""d3029917-0000-0800-0000-6a0d93390000""",attachments/,,010-1004-0403,,1779274553
emp04_04,comp04,양미래,여,정규직,,,,2024-01-01,,재직,,1778742571003,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274559747,pBtjAL8RWCdn7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdn7qsAAAAAAA==/,"""d3028f18-0000-0800-0000-6a0d933f0000""",attachments/,,010-1004-0404,,1779274559
emp04_01,comp04,최물류,남,정규직,,,,2024-01-01,,재직,,1778742571003,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274560968,pBtjAL8RWCdm7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdm7qsAAAAAAA==/,"""d302ae18-0000-0800-0000-6a0d93400000""",attachments/,,010-1004-0401,,1779274560
emp03_14,comp03,종수연,여,정규직,,,,2024-01-01,,재직,,1778742563892,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274561774,pBtjAL8RWCdc7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdc7qsAAAAAAA==/,"""d302d118-0000-0800-0000-6a0d93410000""",attachments/,,010-1003-0314,,1779274561
emp03_07,comp03,박설아,여,정규직,,,,2024-01-01,,재직,,1778742563892,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274562770,pBtjAL8RWCdb7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdb7qsAAAAAAA==/,"""d302fb18-0000-0800-0000-6a0d93420000""",attachments/,,010-1003-0307,,1779274562
emp03_05,comp03,최진화,여,정규직,,,,2024-01-01,,재직,,1778742563892,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274563520,pBtjAL8RWCda7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCda7qsAAAAAAA==/,"""d3022519-0000-0800-0000-6a0d93430000""",attachments/,,010-1003-0305,,1779274563
emp03_04,comp03,정수정,여,정규직,,,,2024-01-01,,재직,,1778742563892,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274564391,pBtjAL8RWCdZ7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdZ7qsAAAAAAA==/,"""d3024619-0000-0800-0000-6a0d93440000""",attachments/,,010-1003-0304,,1779274564
emp03_11,comp03,한진서,남,정규직,,,,2024-02-19,,재직,,1778742563892,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779279849295,pBtjAL8RWCdY7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdY7qsAAAAAAA==/,"""d6025277-0000-0800-0000-6a0da7e90000""",attachments/,,010-1003-0311,,1779279849
emp03_01,comp03,이상훈,남,정규직,,,,2024-01-01,,재직,,1778742563892,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274566066,pBtjAL8RWCdX7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdX7qsAAAAAAA==/,"""d3028719-0000-0800-0000-6a0d93460000""",attachments/,,010-1003-0301,,1779274566
emp03_03,comp03,김영훈,남,정규직,,,,2024-01-01,,재직,,1778742563892,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274566843,pBtjAL8RWCdW7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdW7qsAAAAAAA==/,"""d302a419-0000-0800-0000-6a0d93460000""",attachments/,,010-1003-0303,,1779274566
emp03_06,comp03,김상혁,남,정규직,,,,2024-01-01,,재직,,1778742563892,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274567689,pBtjAL8RWCdV7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdV7qsAAAAAAA==/,"""d302bf19-0000-0800-0000-6a0d93470000""",attachments/,,010-1003-0306,,1779274567
emp03_08,comp03,조민준,남,정규직,,,,2024-01-01,,재직,,1778742563892,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274568486,pBtjAL8RWCdU7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdU7qsAAAAAAA==/,"""d302e819-0000-0800-0000-6a0d93480000""",attachments/,,010-1003-0308,,1779274568
emp03_02,comp03,이지은,여,정규직,,,,2024-01-01,,재직,,1778742563892,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274569308,pBtjAL8RWCdT7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdT7qsAAAAAAA==/,"""d302031a-0000-0800-0000-6a0d93490000""",attachments/,,010-1003-0302,,1779274569
emp03_15,comp03,이윤준,남,정규직,,,,2024-01-01,,재직,,1778742563892,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274570464,pBtjAL8RWCdS7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdS7qsAAAAAAA==/,"""d302381a-0000-0800-0000-6a0d934a0000""",attachments/,,010-1003-0315,,1779274570
emp03_16,comp03,구현주,여,정규직,,,,2024-01-01,,재직,,1778742563892,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274571409,pBtjAL8RWCdR7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdR7qsAAAAAAA==/,"""d3025d1a-0000-0800-0000-6a0d934b0000""",attachments/,,010-1003-0316,,1779274571
emp03_17,comp03,전헜림,여,정규직,,,,2024-01-01,,재직,,1778742563892,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274573349,pBtjAL8RWCdQ7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdQ7qsAAAAAAA==/,"""d302b41a-0000-0800-0000-6a0d934d0000""",attachments/,,010-1003-0317,,1779274573
